Account_id,Customer_id,Account_type,Balance,Opened_date
1,22,Checking,40379.89,08/31/22
2,2302,Checking,8675.87,04/08/22
3,1554,Savings,40975.9,12/14/23
4,2085,Savings,48887.02,01/05/23
5,697,Checking,16316.42,10/01/24
6,1709,Savings,45821.73,08/28/22
7,1955,Checking,19083.53,08/07/21
8,984,Savings,24452.43,08/31/21
9,2967,Savings,10561.88,07/31/23
10,326,Savings,14630.72,12/03/21
11,907,Checking,9508.14,12/21/23
12,1607,Checking,36674.6,05/19/22
13,3391,Savings,18161.42,03/14/20
14,2209,Checking,41036.51,05/08/21
15,3154,Checking,16727.8,09/02/22
16,102,Checking,47059.01,02/08/21
17,3178,Savings,21337.68,06/28/23
18,3265,Checking,33895.76,05/16/20
19,1232,Savings,33015.62,07/08/24
20,287,Checking,36218.82,01/07/22
21,495,Savings,16804.33,12/28/22
22,2823,Checking,40309.23,01/02/20
23,3268,Savings,4970.94,10/04/23
24,1366,Checking,17837.6,10/23/24
25,401,Checking,9247.78,05/23/20
26,2695,Checking,22698.74,05/17/20
27,2416,Checking,10992.03,09/21/22
28,1852,Savings,41153.38,09/02/24
29,1719,Checking,22687.6,10/15/21
30,3227,Savings,18521.72,06/14/20
31,3278,Savings,12593.52,05/09/21
32,1394,Checking,49154.83,10/27/20
33,217,Savings,18478.86,08/29/22
34,1223,Savings,22165,11/17/23
35,2994,Checking,28744.9,12/21/23
36,2865,Savings,6538.98,11/08/21
37,1970,Savings,30419.14,11/05/22
38,1255,Checking,24632.81,12/02/23
39,2006,Checking,20237.03,12/21/21
40,116,Savings,19076.9,11/27/24
41,2398,Checking,12810.9,04/22/21
42,2619,Checking,22163.68,04/24/21
43,520,Checking,45517.62,06/20/20
44,1769,Checking,20149.87,12/22/21
45,35,Savings,24532.66,02/03/20
46,3053,Savings,6731.09,03/26/20
47,674,Savings,49240.27,12/27/23
48,77,Savings,49279.81,11/24/23
49,1232,Checking,36890.2,11/11/23
50,1575,Checking,20383.66,07/28/22
51,2849,Savings,13927.35,02/10/23
52,2955,Savings,39324.54,08/30/23
53,2681,Savings,9064.11,07/12/23
54,2751,Savings,6055.79,12/14/23
55,3347,Checking,18858.29,07/26/22
56,2081,Savings,4477.26,08/13/22
57,426,Checking,24251.59,04/09/23
58,1251,Savings,22955.82,08/30/23
59,1060,Checking,3801.55,06/29/20
60,529,Checking,48715.28,11/02/23
61,2306,Savings,16362.99,05/09/20
62,2009,Savings,46165.66,04/07/24
63,2653,Checking,30635.45,05/29/22
64,2468,Checking,31960.74,05/19/21
65,441,Savings,45114.09,05/25/22
66,1249,Checking,15984.79,12/20/22
67,380,Savings,19440.7,01/02/23
68,1694,Checking,45063.35,12/31/21
69,2979,Checking,42792.37,08/11/24
70,1389,Checking,24428.9,02/21/24
71,1077,Checking,3162.01,03/13/21
72,2549,Checking,41094.88,11/04/23
73,3028,Savings,7361.63,12/14/20
74,2364,Checking,45343.75,01/11/21
75,2041,Checking,36092.57,01/17/20
76,414,Savings,31236.93,10/16/24
77,2270,Savings,11604.44,08/14/23
78,893,Checking,18990.94,10/14/23
79,1212,Savings,37981.78,08/29/23
80,1344,Savings,21446.71,10/29/22
81,3279,Checking,23033.76,07/24/23
82,606,Savings,40647.72,08/11/24
83,3061,Savings,28888.28,08/12/22
84,1247,Checking,9372.62,07/27/23
85,2498,Savings,30029.96,01/15/23
86,854,Savings,42871.53,02/08/23
87,243,Savings,27298.18,06/11/24
88,1807,Savings,12107.41,08/09/24
89,3280,Savings,14354.85,02/26/20
90,2422,Savings,44213.54,05/08/20
91,2513,Checking,29427.14,12/12/21
92,1937,Savings,5907.78,08/17/20
93,722,Checking,49320.22,12/14/23
94,1041,Checking,14844.26,03/11/23
95,357,Checking,1513.26,07/30/24
96,2064,Checking,41773.92,08/16/20
97,3087,Checking,7845.55,01/19/23
98,3286,Savings,22425.32,03/20/24
99,1057,Checking,9723.65,07/05/23
100,2568,Checking,37969.98,03/16/21
101,2609,Savings,40262.44,09/03/20
102,2413,Savings,37472.69,09/27/23
103,2099,Savings,19950.84,10/31/23
104,2543,Savings,43978.35,09/20/21
105,2765,Checking,24919.17,07/02/24
106,2138,Savings,48017.62,04/28/23
107,1402,Savings,6164.41,02/05/21
108,1217,Savings,38591.26,05/26/23
109,1471,Savings,49206.88,10/15/22
110,1811,Savings,47853.12,04/21/21
111,3224,Savings,16351.98,09/23/21
112,917,Checking,29574.92,04/19/21
113,2323,Checking,28095.94,09/19/22
114,1921,Checking,34841.48,01/08/21
115,1429,Checking,43240.31,03/08/23
116,2994,Savings,18763.75,03/21/20
117,2398,Savings,48147.68,04/27/24
118,3319,Checking,6539.3,07/22/24
119,654,Savings,26412.77,12/11/19
120,374,Savings,13789.12,01/13/24
121,414,Checking,12586.61,03/14/23
122,1713,Savings,3965.72,11/20/24
123,1470,Checking,12944.5,06/02/20
124,2474,Savings,37358.11,12/10/23
125,361,Savings,9339.28,05/06/20
126,241,Checking,36557.62,06/12/21
127,210,Checking,20429.26,09/04/23
